keydate,contractnumber,customernumber,companycode,contract_status,contract_substatus,totalarrearamount,totalfeeamount,totalinterestamount,totalcapitalamount,totalotheramount,financetypedescription,postofficecode,FuelType,modeldescription,chassisnumber,plate,contractstartdate,contractenddate,DealerID,newused,substatuscode,terminationdate,numberofdowns,bpname,dpd,netbookvalue,fiscalregistrationcode,retailcorporate,legalentitycode,customernetbookvalue,collectioncaseid,collectioncase_status,lastupdateuser,lastupdatedatetime,primarytaskid,servicecase_status,servicecase_subtask,collectioncase_subtask,contract_flag,bp_flag,LitigationStatus,holddate,BankruptcyStatus,PromiseStatus,ExtAgencyStatus,ExtAgencyName,ExtAgencySubtaskStatus,lastinteractiontype,workqueue,workqueue_entrydate,workqueue_updatedate,servicecasequeue_status,lastrejectcode,lastpaymentinvoice,Task_Status_List,subtaskleadingcase,leadingcase,allocationrange,lastworkeddate,oldestduedate,lastdelinquencyreason,lastdelinquencyreasondate,bucket,ND_FLAG,country,customertotalarrearamount,ND_DATE,foreclosuredate,prior_totalarrearamount,leadingcasestatus,id,languagecode,lastworkeddatesystem,lastworkeddateuser,row_hash
2/23/2025,1405994,331210592,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,Vito Mixto / Tourer Long VITO 111 CDI Mixto Long P,DPGA002-u82qKixK4WuPNMrt0J8g7Y1VhfKWiv5yGf77ZlZgQGfQ,DPGA002-vbEcR7scalYZZ+O+G27vCTo=,4/18/2019,4/18/2024,330797703,N,200,null,null,DPGA002-VjefItDCdPfWR3YJzi1zHDTvW8UYulPiR0bqqJCodhdd,null,989,null,R,COMPANY,1978,C-FR-PC-39005,Pending-EOC,System,2024-10-09T07:28:31Z,EOC-FR-43092,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-05-10T12:42:19Z,2024-05-17T12:42:19Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range5,2024-04-18T15:27:24Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-04-18T15:27:24Z,null,39fefeda8b59723751c226d0e7e92513b3d3a202b923e4ac6cc3faaff28eb4ae
2/23/2025,1407045,331342126,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Location avec option d achat,null,DIESEL,Classe GLC (253) SUV 250 d 4MATIC BA Ligne Sportli,DPGA002-pypOLh2VogIpS6T0D5M0LVyTN4YnO/J+jmYodGqOrrRq,DPGA002-lyyeqrsdO5aXU9yoBhr6k98=,4/26/2019,5/26/2024,330801118,N,200,null,null,DPGA002-usbHgSycps2y9PoDm+SfHsQ=,null,7291.35,null,R,COMPANY,7291.35,C-FR-PC-46227,Pending-EOC,System,2024-10-09T07:28:49Z,EOC-FR-47207,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-05-27T12:33:18Z,2024-06-03T12:33:20Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range1,2024-05-27T12:33:07Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-05-27T12:33:07Z,null,ee5f3e825830cac6cbcddefbe029ef813e77ad69c8b1b3383c0511b82f14e57b
2/23/2025,1408894,331069689,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,Vito Mixto / Tourer Long VITO 114 CDI Mixto Long P,DPGA002-ca9GY1zqg5sUNwpKCqM2S5iTN4YnO/J+jmYodGqOrrRq,DPGA002-A8hSr6QATUP7G848Ke6gJxI=,4/17/2019,4/17/2024,331058273,N,200,null,null,DPGA002-09fH13ofj6fxsylb5whyXDQ=,null,1293.6,null,null,OTHERS,null,C-FR-PC-37010,Pending-EOC,System,2024-10-09T07:28:30Z,EOC-FR-43037,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-05-10T12:31:46Z,2024-05-17T12:31:46Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,null,2024-04-18T10:58:37Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-04-18T10:58:37Z,null,22e9d85143acb95973418d6a1ce19878c1972db8e975aa8d51eb7160c0d13ac7
2/23/2025,1410878,331206839,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit,null,DIESEL,Classe C Break (07/14) 220 d Executive,DPGA002-4ghJ1uHsu7QGWLjxCA3C/2X6PGV+MAkenuoNLsO8lA8O,DPGA002-wOSYBCETw3eNx24mge4GAK8=,5/23/2019,5/23/2024,330821347,U,200,null,null,DPGA002-psp3h1KngYPLeBTYfDjJJhAZCE0mKVG7UPfe4cJXV9VljpkQlMDyJpDeZZygHJEONw==,null,509.38,null,null,OTHERS,null,C-FR-PC-46117,Pending-EOC,System,2024-10-09T07:28:46Z,EOC-FR-47097,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-05-24T12:36:30Z,2024-05-31T12:36:47Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,null,2024-05-24T12:36:18Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-05-24T12:36:18Z,null,1e7aa6d234ccd96b8742cb476d4ead6b3fc2a06a2e2c4d08e3ecc2750bdc8a31
2/23/2025,1411445,331314623,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,Vito Fourgon Fourgon VITO 109 CDI Fourgon Compact,DPGA002-RApy78GoPHZatV84yYXGODw1WqAo29dMvZGmNWpAc3bR,DPGA002-EqQP+v6hmnn+Qf1WEx+ClF0=,5/23/2019,8/23/2024,330602077,N,200,null,null,DPGA002-eYQUTn65dVzxjHUue+kwyF2vkHerVaEtHqO14Mr7agM6,null,2576.38,null,R,COMPANY,43629.8,C-FR-PC-65127,Pending-EOC,System,2024-10-09T07:29:34Z,EOC-FR-65127,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-08-24T12:28:39Z,2024-08-31T12:28:46Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range5,2024-08-24T12:28:32Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-08-24T12:28:32Z,null,2561332ff81432d83c3623ea1dfb84925ca08e27d00873ee32326f1d730f3968
2/23/2025,1413759,331336187,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,MB Tracteur Actros 1845,DPGA002-Ufpzvf8nST7JyRz6LLWmZ/X6PGV+MAkenuoNLsO8lA8O,DPGA002-JOZI5GLPuNd72RLs501EWGQ=,6/10/2019,9/10/2024,330601958,N,200,null,null,DPGA002-3bKcT9SpBbYbmhOqSSV0oaU=,null,11138.56,null,C,COMPANY,105504.4,C-FR-PC-69015,Pending-EOC,System,2024-10-09T07:29:39Z,EOC-FR-69015,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-09-11T12:25:24Z,2024-09-18T12:25:28Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range2,2024-09-11T12:25:16Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-09-11T12:25:16Z,null,810ec311af711bb925e3e5333d03b80444acd51e1d42761591c3c2c657be99b7
2/23/2025,1414997,331349114,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,NEW CITAN Mixto CITAN 111 CDI Mixto REP Extra long,DPGA002-ilooe3E4zGQwZIOPDTJJHLvwy7HCSd+ZAJBHi4OMQQ+1,DPGA002-zqXOps1k7EyA5eTWFuUVYbQ=,6/19/2019,9/19/2024,330602012,N,200,null,null,DPGA002-aFB7Gof/3xn+35yDlhcIz35yEshZzbYHBRSmx3tMRsZp,null,2359.4,null,R,COMPANY,2359.4,C-FR-PC-70004,Pending-EOC,System,2024-10-09T07:29:42Z,EOC-FR-70004,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-09-20T12:25:50Z,2024-09-27T12:26:02Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range1,2024-09-20T12:25:41Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-09-20T12:25:41Z,null,59af5f73cd78c1172226c662025b7f5936b6e55e2f3202f790d0b99e2e92231a
2/23/2025,1416208,331350222,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,NEW CITAN Mixto CITAN 109 CDI Mixto REP Extra long,DPGA002-NeeodjQcGwVQ7BlhVkgFr8NpjhhT9TKwRjFJZPb44/Wk,DPGA002-DIIaez2UntZu43ZPHF2u6sk=,6/25/2019,6/25/2024,330602067,N,200,null,null,DPGA002-9C3RxLpQw1m4+NpI4sQt1nk=,null,1330,null,R,COMPANY,1330,C-FR-PC-55243,Pending-EOC,System,2024-10-09T07:29:06Z,EOC-FR-57239,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-06-26T12:35:06Z,2024-07-03T12:35:12Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range2,2024-06-26T12:34:59Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-06-26T12:34:59Z,null,715cdf343da093e776dcea2b187ccb71e28cf6bf48456a459433fa564d1aa579
2/23/2025,1417569,331349535,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail Facility,null,DIESEL,"Sprinter Fourgon SPRINTER VS30 314 Fourgon 39 3,5t",DPGA002-VRQ5Rtriuj2BkqPPDi3EzHDwy7HCSd+ZAJBHi4OMQQ+1,DPGA002-FaUrAFCXeDLyVPLnC7Bxkeo=,7/1/2019,7/1/2024,330601577,N,200,null,null,DPGA002-qYiyVBzCuEdYFiDmB+DQB5o=,null,11446.02,null,R,COMPANY,40454.2,C-FR-PC-58006,Pending-EOC,System,2024-10-09T07:29:10Z,EOC-FR-58006,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-07-02T12:26:28Z,2024-07-09T12:26:55Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range4,2024-07-02T12:26:22Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-07-02T12:26:22Z,null,019dac9dc9e2954f11af8aa293b19901cd82e54c7404297a232b916e5778a16a
2/23/2025,1420918,331354409,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit,null,DIESEL,CLA Shooting Brake (04/16) 220 d Fascination 7G-DC,DPGA002-ft/AXeyFlTZaAUR1Tt6OV9Lwy7HCSd+ZAJBHi4OMQQ+1,DPGA002-yM6hJwa39rUgQ/N/l1BLzbY=,7/22/2019,7/22/2024,330995108,U,200,null,null,DPGA002-+IE4Vz3kGahGyF+gBk+dITUcqLvIIQLcWpK4KlJAiFuW,null,2543.34,140862GAREL,R,PRIVATE INDIVIDUAL,2543.34,C-FR-PC-58155,Pending-EOC,System,2024-10-09T07:29:14Z,EOC-FR-58118,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-07-23T12:25:09Z,2024-07-30T12:25:26Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range3,2024-07-23T12:25:01Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-07-23T12:25:01Z,null,ec3dcabc9a36805bbdf7879c87a297b06e2993a8ff8b4d8d3349b30ec14ef599
2/23/2025,1421680,331355041,331,LIVE - Live,200 - Contract live,1000,null,null,300,null,Cr�dit Bail,null,DIESEL,"Sprinter Fourgon SPRINTER VS30 214 Fourgon 33 3,0t",DPGA002-6Vw3AJZBDi/WksPS8b8twxss+pjeNJwzQ6tzkCKJ5AgT,DPGA002-OGKIQvYq7ph2VbM5n9eCCZY=,7/24/2019,7/24/2024,330602308,N,200,null,null,DPGA002-bKaNL0+/q7nIk8dGpijhe/MXNlYz3MeYWaqjj4JaM6U8asRepbxOkngXLJOx/SBq/A==,null,2840.1,null,R,COMPANY,51224.46,C-FR-PC-61054,Pending-EOC,System,2024-10-09T07:29:25Z,EOC-FR-61054,Pending-EOCInvoicesInArrears,EOC Invoices,FirstDayOfArrears,null,null,null,null,null,null,null,null,null,null,FREndOfContractWQ,2024-07-25T12:31:45Z,2024-08-01T12:31:54Z,Pending-EOCInvoicesInArrears,null,null,Pending-EOCInvoicesInArrears : EOC Invoices,EOC Invoices,End Of Contract,Range1,2024-07-25T12:31:37Z,null,null,null,null,No,FRANCE,null,null,null,null,Pending-EOCInvoicesInArrears,null,null,2024-07-25T12:31:37Z,null,71310821949c5b7e8a4db06bc630c413ddac79e7fa18df4d4f682b4069d6c9ad
